codigo_produto,produto_nome,base_legal,unidade,data_atualizacao
1441,PAINEL PARA MÁQUINA DE LAVAR OU SECAR,"Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 11.188, de 28 de dezembro de 2022",UNIDADE,16/08/2024 17:08
1442,"ÁRVORE DE CAMES PARA COMANDO DE VÁLVULAS PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,16/02/2024 17:02
1450,"BOBINA DE IGNIÇÃO PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,
1451,"BOBINA DE FORÇA PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,
1452,"INTERRUPTOR (RELÉ) MAGNÉTICO DE PARTIDA PARA CICLOMOTOR, MOTONETA, MOTOCICLETA, TRICICLO E QUADRICICLO","Portaria Interministerial MDIC/MCTIC nº 171, de 1º de julho de 2016, com alterações dadas pela PI 40/2017, PI 34/2018, PI 50/2019, PI 34/2020 e PI 1251/2022.",UNIDADE,
1453,SUBCONJUNTO DO PAINEL DE CONTROLE COM DISPOSITIVO INDICADOR VISUAL E/OU ACÚSTICO PARA CONDICIONADOR DE AR,"Portaria interministerial MCT/MDIC nº 241, de 5 de junho de 2003",UNIDADE,16/08/2024 17:08
1454,DISPOSITIVO DE PROTEÇÃO À CORRENTE DIFERENCIAL RESIDUAL - DR,"Portaria Interministerial MDIC/MCT nº 55, de 17 de fevereiro de 2005 e Portaria Interministerial MDIC/MCTI nº 405, de 22 de dezembro de 2015",UNIDADE,29/03/2019 12:03
1455,CONTATOR ELETROMAGNÉTICO TRIFÁSICO DE COMANDO A DISTÂNCIA,"Portaria Interministerial MDIC/MCTIC nº 53, de 11 de julho de 2017",UNIDADE,09/02/2024 11:02
1456,"""TIMER"" PARA CONDICIONADOR DE AR","Portaria Interministerial MDIC/MCT nº 399, de 3 de setembro de 2003",UNIDADE,
1457,TERMOSTATO PARA CONDICIONADOR DE AR,"Portaria Interministerial MDIC/MCT nº 399, de 3 de setembro de 2003",UNIDADE,
